Good\0.bmp 1 17 18 38 38
Good\1.bmp 1 8 16 32 32
Good\2.bmp 1 5 23 33 33
Good\3.bmp 1 18 22 36 36
Good\4.bmp 1 15 28 32 32
Good\5.bmp 1 7 5 34 34
Good\6.bmp 1 27 0 31 31
Good\7.bmp 1 12 0 37 37
Good\8.bmp 1 7 28 33 33
Good\9.bmp 1 21 1 34 34
Good\10.bmp 1 15 8 36 36
Good\11.bmp 1 15 18 36 36
Good\12.bmp 1 10 1 39 39
Good\13.bmp 1 32 14 30 30
Good\14.bmp 1 7 23 34 34
Good\15.bmp 1 8 18 39 39
Good\16.bmp 1 9 9 34 34
Good\17.bmp 1 7 11 39 39
Good\18.bmp 1 1 22 38 38
Good\19.bmp 1 9 8 34 34
Good\20.bmp 1 25 9 35 35
Good\21.bmp 1 6 1 33 33
Good\22.bmp 1 9 2 32 32
Good\23.bmp 1 23 17 38 38
Good\24.bmp 1 26 4 32 32
Good\25.bmp 1 32 3 30 30
Good\26.bmp 1 25 12 33 33
Good\27.bmp 1 21 12 36 36
Good\28.bmp 1 14 16 31 31
Good\29.bmp 1 15 0 39 39
Good\30.bmp 1 3 28 34 34
Good\31.bmp 1 16 11 39 39
Good\32.bmp 1 21 13 30 30
Good\33.bmp 1 23 4 33 33
Good\34.bmp 1 12 12 36 36
Good\35.bmp 1 30 11 30 30
Good\36.bmp 1 0 26 35 35
Good\37.bmp 1 8 6 39 39
Good\38.bmp 1 10 10 39 39
Good\39.bmp 1 10 4 38 38
Good\40.bmp 1 23 18 37 37
Good\41.bmp 1 20 5 38 38
Good\42.bmp 1 20 26 32 32
Good\43.bmp 1 2 23 32 32
Good\44.bmp 1 11 7 33 33
Good\45.bmp 1 26 5 34 34
Good\46.bmp 1 21 1 35 35
Good\47.bmp 1 5 13 37 37
Good\48.bmp 1 9 3 35 35
Good\49.bmp 1 8 13 39 39
Good\50.bmp 1 15 8 37 37
Good\51.bmp 1 19 5 39 39
Good\52.bmp 1 25 28 33 33
Good\53.bmp 1 11 11 35 35
Good\54.bmp 1 9 7 35 35
Good\55.bmp 1 10 1 32 32
Good\56.bmp 1 22 11 37 37
Good\57.bmp 1 29 3 31 31
Good\58.bmp 1 6 7 31 31
Good\59.bmp 1 23 8 31 31
Good\60.bmp 1 6 25 35 35
Good\61.bmp 1 25 5 34 34
Good\62.bmp 1 11 12 38 38
Good\63.bmp 1 28 16 30 30
Good\64.bmp 1 21 11 33 33
Good\65.bmp 1 6 23 36 36
Good\66.bmp 1 25 30 31 31
Good\67.bmp 1 10 10 37 37
Good\68.bmp 1 11 23 32 32
Good\69.bmp 1 25 5 36 36
Good\70.bmp 1 9 12 36 36
Good\71.bmp 1 0 18 31 31
Good\72.bmp 1 7 5 36 36
Good\73.bmp 1 12 31 30 30
Good\74.bmp 1 18 2 39 39
Good\75.bmp 1 23 3 36 36
Good\76.bmp 1 3 7 37 37
Good\77.bmp 1 18 12 37 37
Good\78.bmp 1 11 4 37 37
Good\79.bmp 1 19 5 31 31
Good\80.bmp 1 21 1 33 33
Good\81.bmp 1 21 9 35 35
Good\82.bmp 1 12 16 31 31
Good\83.bmp 1 8 12 31 31
Good\84.bmp 1 0 8 39 39
Good\85.bmp 1 22 21 39 39
Good\86.bmp 1 2 17 37 37
Good\87.bmp 1 21 29 31 31
Good\88.bmp 1 5 28 33 33
Good\89.bmp 1 25 13 36 36
Good\90.bmp 1 8 0 37 37
Good\91.bmp 1 19 21 39 39
Good\92.bmp 1 26 5 31 31
Good\93.bmp 1 24 0 33 33
Good\94.bmp 1 22 2 39 39
Good\95.bmp 1 4 20 34 34
Good\96.bmp 1 26 26 36 36
Good\97.bmp 1 10 18 39 39
Good\98.bmp 1 1 6 39 39
Good\99.bmp 1 1 22 38 38
Good\100.bmp 1 12 27 34 34
Good\101.bmp 1 24 8 33 33
Good\102.bmp 1 16 1 36 36
Good\103.bmp 1 7 25 32 32
Good\104.bmp 1 5 14 39 39
Good\105.bmp 1 9 10 30 30
Good\106.bmp 1 7 4 38 38
Good\107.bmp 1 0 23 35 35
Good\108.bmp 1 23 18 34 34
Good\109.bmp 1 6 18 35 35
Good\110.bmp 1 10 18 33 33
Good\111.bmp 1 14 18 34 34
Good\112.bmp 1 17 11 35 35
Good\113.bmp 1 22 20 39 39
Good\114.bmp 1 18 13 38 38
Good\115.bmp 1 16 28 34 34
Good\116.bmp 1 9 27 32 32
Good\117.bmp 1 20 5 37 37
Good\118.bmp 1 16 14 38 38
Good\119.bmp 1 1 9 33 33
Good\120.bmp 1 13 8 33 33
Good\121.bmp 1 19 32 30 30
Good\122.bmp 1 5 17 31 31
Good\123.bmp 1 6 24 38 38
Good\124.bmp 1 27 25 34 34
Good\125.bmp 1 17 17 37 37
Good\126.bmp 1 5 18 31 31
Good\127.bmp 1 10 5 37 37
Good\128.bmp 1 8 0 38 38
Good\129.bmp 1 23 22 32 32
Good\130.bmp 1 21 8 39 39
Good\131.bmp 1 28 11 30 30
Good\132.bmp 1 2 17 34 34
Good\133.bmp 1 17 2 37 37
Good\134.bmp 1 11 1 39 39
Good\135.bmp 1 6 15 38 38
Good\136.bmp 1 16 8 37 37
Good\137.bmp 1 1 14 34 34
Good\138.bmp 1 9 26 30 30
Good\139.bmp 1 0 15 32 32
Good\140.bmp 1 8 12 32 32
Good\141.bmp 1 9 24 34 34
Good\142.bmp 1 23 9 39 39
Good\143.bmp 1 24 12 36 36
Good\144.bmp 1 18 16 34 34
Good\145.bmp 1 25 26 31 31
Good\146.bmp 1 32 17 30 30
Good\147.bmp 1 23 18 37 37
Good\148.bmp 1 23 22 35 35
